state_str,state_abbrev,popestimate2023,domesticmig2024,domesticmig_pctchg2024,popestimate2022,domesticmig2023,domesticmig_pctchg2023,netdomesticmig_rank_2024,netdomesticmig_rank_2023,uhaul2024_rank,uhaul2023_rank,uhaul2022_rank,uvl_inbound_shipments_2024,uvl_outbound_shipments_2024,uvl_total_shipments_2024,uvl_net_pct_2024,uvl_net_pct_rank_2024,uvl_inbound_shipments_2023,uvl_outbound_shipments_2023,uvl_total_shipments_2023,uvl_net_pct_2023,uvl_net_pct_rank_2023
Alabama,AL,5117673,26028,0.005085905254204401,5076181,29946,0.005899316828931041,7,10,16,22,20,1158.0,820.0,1978.0,0.17087967644084934,6,1262.0,852.0,2114.0,0.19394512771996217,8
Alaska,AK,736510,-3774,-0.00512416667798129,734442,-4886,-0.006652669645799123,48,47,27,34,41,,,,,,,,,,
Arizona,AZ,7473027,34902,0.00467039661438397,7377566,35208,0.004772305662870383,9,15,6,8,7,2660.0,1943.0,4603.0,0.15576797740603954,10,2709.0,2339.0,5048.0,0.07329635499207607,18
Arkansas,AR,3069463,13465,0.0043867608112559105,3047704,17821,0.005847352630045438,10,11,12,17,43,558.0,407.0,965.0,0.15647668393782382,9,693.0,459.0,1152.0,0.203125,4
California,CA,39198693,-239575,-0.006111810921859053,39142414,-344029,-0.008789161547369051,49,50,50,50,50,7301.0,10069.0,17370.0,-0.15935521013241222,45,7593.0,10286.0,17879.0,-0.1506236366687175,44
Colorado,CO,5901339,5422,0.0009187745357451927,5850935,6341,0.0010837584078442163,24,25,40,9,11,2960.0,3598.0,6558.0,-0.09728575785300396,39,3408.0,3597.0,7005.0,-0.026980728051391862,29
Connecticut,CT,3643023,-6060,-0.0016634536756973536,3617925,-6462,-0.0017861066771699247,41,37,41,42,28,753.0,898.0,1651.0,-0.08782556026650515,38,870.0,985.0,1855.0,-0.06199460916442048,36
Delaware,DE,1036423,8155,0.007868408941136969,1020625,9931,0.009730312308634415,3,2,21,15,27,329.0,186.0,515.0,0.27766990291262134,2,302.0,217.0,519.0,0.16377649325626203,11
District of Columbia,DC,687324,-337,-0.0004903073368600543,676725,-2580,-0.0038124792197716945,34,42,,,,560.0,355.0,915.0,0.22404371584699453,4,630.0,366.0,996.0,0.26506024096385544,2
Florida,FL,22904868,64017,0.0027949080518604166,22379312,185067,0.00826955716958591,14,5,4,2,2,7493.0,6108.0,13601.0,0.10183074773913683,14,8535.0,6468.0,15003.0,0.13777244551089782,13
Georgia,GA,11064432,25321,0.0022885042811054378,10931805,52290,0.004783290591078052,18,14,15,18,8,2939.0,2555.0,5494.0,0.06989443028758646,19,3422.0,3034.0,6456.0,0.060099132589838906,19
Hawaii,HI,1441387,-9321,-0.006466687988721974,1440359,-11033,-0.0076598959009524705,51,49,26,25,,,,,,,,,,,
Idaho,ID,1971122,16383,0.008311509891320781,1944299,14730,0.0075759952558737105,2,7,10,6,10,595.0,458.0,1053.0,0.13010446343779677,11,603.0,542.0,1145.0,0.05327510917030567,21
